I1,I2,E,T1,T2,T3,T4,T5,T6,T7
3.86,7,7,3.4,4.05,7,4.15,7,6.34,1.54
7,7,2.93,3.13,6.98,4.13,6.3,7,1.6,6.45
7,6.81,3.88,7,3.36,7,5.84,1.63,2.19,4.37
1.83,4.52,7,4.6,3.72,1.88,2.66,4.0,7,7
4.27,5.34,1.51,4.1,7,6.15,5.56,6.24,3.08,5.31
7,2.55,7,4.22,7,7,7,4.78,3.37,5.69
6.33,5.57,6.57,7,3.24,6.47,3.49,7,2.53,7
6.46,7,4.65,7,6.97,2.76,1.5,7,6.6,7
5.18,7,7,4.33,1.73,7,3.37,6.9,7,4.94
4.77,6.75,7,5.25,2.51,7,7,4.7,7,1.46
3.42,6.09,2.63,7,1.95,2.82,6.15,4.49,7,4.36
6.1,4.88,6.47,1.56,6.21,1.61,2.58,6.66,2.78,2.38
3.37,3.95,5.57,3.18,7,6.16,5.94,2.96,3.16,7
2.81,7,6.12,2.4,6.74,7,3.9,5.51,3.88,7
5.89,7,2.24,7,5.06,5.52,6.37,5.03,6.15,4.89
7,7,5.02,3.46,7,6.01,5.73,5.6,3.96,4.59
5.4,1.76,6.85,6.03,7,4.14,2.72,3.29,4.2,7
7,5.33,7,2.72,5.5,4.57,4.36,7,1.74,3.46
7,1.47,2.12,4.21,2.63,3.77,6.93,7,6.02,7
7,4.38,7,2.97,7,1.68,2.19,1.59,3.92,4.24
6.56,7,4.91,6.41,2.2,3.0,2.9,7,6.19,6.1
7,7,2.23,7,4.85,2.75,5.11,7,7,7
4.26,4.68,6.96,5.48,7,2.26,7,6.05,5.49,2.78
3.95,2.3,3.21,5.45,7,2.68,7,2.41,5.12,7
6.04,3.92,6.53,3.06,7,1.52,6.3,2.46,4.96,3.29
4.52,3.65,2.52,7,6.45,2.23,7,1.87,6.16,7
7,6.62,5.63,4.48,1.96,7,6.55,4.05,2.83,3.52
7,4.48,2.77,3.71,6.56,7,6.33,4.21,5.91,3.37
5.86,4.28,2.27,7,1.78,6.14,3.68,7,5.67,3.45
5.84,7,7,4.37,3.81,7,6.89,7,1.63,7
7,2.98,5.13,7,7,7,7,7,6.16,4.48
7,5.79,2.35,7,5.17,4.44,2.56,7,1.92,7
3.36,1.99,2.19,1.41,7,2.96,7,3.24,6.12,7
5.78,4.75,7,5.73,7,1.65,6.61,7,3.09,7
6.04,4.86,1.48,1.8,5.45,4.53,7,3.4,6.89,5.45
1.52,7,3.84,3.86,2.6,7,4.8,6.02,7,7
6.0,5.35,7,3.95,7,7,2.33,7,6.26,5.84
7,3.15,3.7,7,7,5.78,6.98,5.49,5.43,2.95
2.72,1.85,7,7,3.94,5.39,4.3,2.32,3.22,6.8
2.88,4.67,2.79,2.91,7,6.66,2.22,2.48,7,4.31
3.33,7,3.61,1.74,1.76,3.88,7,7,6.64,6.91
2.98,1.58,7,7,7,4.28,5.09,7,7,7
7,5.89,2.63,3.47,7,5.85,7,7,7,5.41
7,7,2.92,3.77,2.76,1.46,3.71,7,7,2.93
3.14,2.71,4.52,2.43,2.0,7,1.74,7,4.39,7
7,7,7,4.87,5.14,6.98,7,7,7,3.67
5.71,4.93,3.17,6.47,7,7,1.72,7,7,7
6.01,5.75,2.12,7,7,7,4.78,7,4.69,7
5.24,7,4.09,5.33,6.44,4.67,4.0,3.01,2.56,3.05
7,7,2.01,4.44,1.97,7,7,7,7,6.62
6.31,7,2.56,7,7,7,7,4.1,6.55,7
7,7,3.46,7,7,7,7,4.35,1.57,6.25
4.99,7,4.13,4.8,4.25,6.39,7,7,7,7
6.3,7,7,1.64,3.25,5.34,5.96,7,7,7
2.27,6.7,2.38,7,7,7,7,4.87,4.17,4.94
7,7,3.34,4.14,7,7,7,7,2.16,7
4.28,7,3.64,4.32,4.34,2.33,2.4,5.78,4.46,3.83
3.98,3.29,3.63,3.07,6.85,7,1.88,1.73,2.83,4.04
7,7,5.92,4.1,2.52,5.85,4.21,4.85,7,5.56
7,7,1.8,5.48,2.54,5.0,5.88,7,7,6.11
2.82,7,1.76,5.32,6.8,3.66,1.49,1.55,7,3.96
4.99,4.97,7,7,2.27,7,2.13,7,4.64,3.51
5.58,3.39,5.97,6.65,6.25,2.87,7,7,6.25,7
1.9,7,3.7,7,1.44,7,7,7,7,7
